epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,276.769,1.54348,2.63826,1.44911,0.31572,0.74369,0.31843,0.24153,0.86448,2.51295,1.04145,0.00998805,0.00332935,0.00998805,0.00332935,0.00998805,0.00332935,0.00998805,0.00332935
2,514.911,1.23249,1.84827,1.20679,0.32692,0.73838,0.32403,0.24577,0.84864,2.23771,1.03182,0.0198561,0.00661871,0.0198561,0.00661871,0.0198561,0.00661871,0.0198561,0.00661871
3,697.299,1.21597,1.77633,1.21926,0.30243,0.77158,0.31163,0.24374,0.76823,2.2362,1.02827,0.0295922,0.00986407,0.0295922,0.00986407,0.0295922,0.00986407,0.0295922,0.00986407
4,4301.64,1.17734,1.75104,1.2192,0.31402,0.77418,0.3233,0.25607,0.73313,3.25121,1.01941,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4504.72,1.10782,1.65079,1.18221,0.32024,0.74453,0.32952,0.26379,0.72545,2.04045,1.00738,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4714.58,1.06615,1.60327,1.16305,0.32568,0.80146,0.33661,0.27546,0.67479,1.88415,0.9846,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4925.98,1.04279,1.56586,1.14444,0.32828,0.77948,0.33754,0.28028,0.64873,1.85232,0.96599,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,5112.9,1.01671,1.53519,1.13532,0.32687,0.81901,0.34672,0.29382,0.60567,2.04497,0.95518,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,5294.55,0.99273,1.50154,1.12298,0.33339,0.82404,0.34853,0.31076,0.47511,2.0402,0.89589,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,5708.68,0.98212,1.50651,1.11793,0.32518,0.78552,0.33363,0.27933,0.62843,1.89062,0.95829,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,8752.08,0.97441,1.49831,1.11138,0.32641,0.81408,0.3371,0.28575,0.60798,2.10844,0.94649,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,8929.28,0.95306,1.46512,1.09899,0.32416,0.81939,0.33355,0.27446,0.68281,2.00843,0.97816,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,9112.97,0.95564,1.46808,1.10006,0.32335,0.83466,0.32948,0.27486,0.6122,1.96824,0.93723,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,9294.76,0.92759,1.4295,1.07877,0.3189,0.81082,0.32841,0.27915,0.60438,1.99094,0.93416,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,9477.04,0.92973,1.44034,1.08563,0.32296,0.8476,0.34636,0.28877,0.64057,2.14938,0.96383,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,11799.7,0.92944,1.44234,1.08179,0.31927,0.82603,0.3292,0.28047,0.59474,2.02361,0.9353,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,12663.9,0.91349,1.43189,1.07291,0.32176,0.83666,0.33446,0.28231,0.58971,2.12859,0.92629,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,13952.8,0.90248,1.42033,1.07412,0.32058,0.81303,0.33146,0.28181,0.60301,1.94846,0.93865,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,21262.4,0.90477,1.39865,1.06758,0.32773,0.80345,0.33208,0.28156,0.6093,2.10679,0.94101,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,21487,0.90178,1.39739,1.0681,0.32825,0.82337,0.33217,0.28017,0.60764,2.27235,0.93511,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,21708.1,0.89464,1.3998,1.06522,0.32739,0.80478,0.33188,0.28437,0.59187,1.93595,0.92536,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,21903.7,0.88871,1.40091,1.06385,0.32198,0.83371,0.33066,0.28216,0.59063,2.07666,0.92208,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,22121.5,0.88504,1.38788,1.05866,0.32951,0.81474,0.3313,0.28419,0.57767,2.15021,0.91582,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,22309.9,0.87795,1.39476,1.05832,0.32766,0.80744,0.33206,0.28344,0.59653,2.05598,0.92083,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,22507.9,0.87159,1.37333,1.05971,0.32496,0.81009,0.33311,0.28365,0.595,1.92442,0.92854,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,22693.3,0.8694,1.36375,1.05542,0.32891,0.80876,0.32909,0.28195,0.56854,2.05793,0.9126,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,22897.2,0.86013,1.35438,1.04877,0.32619,0.80744,0.32956,0.28057,0.59422,1.99029,0.92643,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,23088.1,0.85794,1.3544,1.04533,0.32394,0.80876,0.32972,0.28006,0.59559,2.00731,0.92408,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,23281.3,0.85532,1.3401,1.04298,0.32637,0.81275,0.33712,0.28879,0.57888,2.05671,0.91938,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,23468.3,0.85804,1.35939,1.0454,0.32786,0.81607,0.33763,0.28907,0.58571,2.02966,0.91855,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,24348.7,0.85634,1.35797,1.04362,0.33073,0.80279,0.33667,0.28857,0.58209,2.00732,0.9161,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,24572.3,0.85077,1.3616,1.04381,0.33092,0.79681,0.33597,0.28719,0.58372,2.10595,0.91947,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,24796.8,0.85331,1.34452,1.04383,0.3298,0.80876,0.34054,0.29113,0.59026,1.95629,0.91838,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,25026.5,0.85074,1.33914,1.0392,0.32686,0.80212,0.33745,0.28982,0.58411,2.11492,0.91607,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,25258.6,0.83888,1.33012,1.04074,0.33244,0.8008,0.34104,0.29423,0.58285,2.05504,0.91774,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,25497.1,0.83547,1.32473,1.03414,0.32714,0.80943,0.3377,0.29196,0.57191,2.02055,0.91074,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,25737.5,0.83813,1.3241,1.03161,0.32437,0.80462,0.33023,0.28296,0.58932,2.05317,0.91472,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,25951.7,0.83216,1.31643,1.03234,0.3257,0.82404,0.33676,0.28864,0.59533,2.09079,0.9143,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,26156.1,0.83321,1.31931,1.02949,0.32901,0.81275,0.33241,0.28652,0.57893,2.06016,0.90765,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,26394.6,0.82634,1.3047,1.02705,0.32729,0.81275,0.33167,0.28484,0.58808,2.07352,0.91083,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,26633.6,0.83293,1.31878,1.02806,0.32551,0.80876,0.33475,0.28879,0.58343,2.11681,0.90972,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,26856.3,0.83135,1.33497,1.02638,0.3256,0.8247,0.32988,0.2832,0.59058,2.04076,0.91245,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
